country,region_id,authority_id,auth_name_e,old_park_id,new_park_id
England,E12000008,E07000088,Gosport,GOSPO_183bce6d6f2a,0e8de1770664
England,E12000008,E07000088,Gosport,GOSPO_03cc8cb55125,3f9526022448
England,E12000008,E07000088,Gosport,GOSPO_f546b470b8c5;GOSPO_4151de2061b5,82d836d94eb0
England,E12000008,E07000088,Gosport,GOSPO_d8dd60728db8;GOSPO_5b7dbf555a8a,4b8cfd45470d
England,E12000008,E07000088,Gosport,GOSPO_249f85cfecc7,4ac13af02a5c
England,E12000008,E07000088,Gosport,GOSPO_c18dcb102c20,4ed35278a057
England,E12000008,E07000088,Gosport,GOSPO_e1eee8351ccd;GOSPO_12d7f70eded6,fe36baeb298c
England,E12000008,E07000088,Gosport,GOSPO_8bc60321fe94;GOSPO_68d2f13224da,fa2d659114e2
England,E12000008,E07000088,Gosport,GOSPO_3d902b9c1fa8,0f2aa5d4836e
England,E12000008,E07000088,Gosport,GOSPO_a5d49bb38854;GOSPO_ce13ae46aec0,308cbcf917d3
England,E12000008,E07000088,Gosport,GOSPO_0d09061ba409,85b69ade903a
England,E12000008,E07000088,Gosport,GOSPO_2748239b4445,ff4bc02f68d3
England,E12000008,E07000088,Gosport,GOSPO_b79f5865ad34,2cc2c7f03abd
England,E12000008,E07000088,Gosport,GOSPO_d4b96d1ebdc9;GOSPO_7357dfb8b5c7,8e264f923a7d
England,E12000008,E07000088,Gosport,GOSPO_34d1ca8aaa38,859d1b0a0551
England,E12000008,E07000088,Gosport,GOSPO_f0f0377c45ea;GOSPO_caccff70f2c8,8d9f96b0cf04
England,E12000008,E07000088,Gosport,GOSPO_eb84dda92dec;GOSPO_f42f0884ff73;GOSPO_7618ab3aa929,941b4e16414a
England,E12000008,E07000088,Gosport,GOSPO_90b4f29261d9;GOSPO_3d03e019aed8,b906e9951914
England,E12000008,E07000088,Gosport,GOSPO_489b12178363;GOSPO_de58a3e03f04,da291a0e5558
England,E12000008,E07000088,Gosport,GOSPO_d7d5c4f5782f;GOSPO_5c8300520dbf;GOSPO_541e03c0e208;GOSPO_7f5481117771;GOSPO_f896b7dbcb6d;GOSPO_9ceb8e87bb70;GOSPO_7c8c5fd315e3;GOSPO_e21b6f6f51cc;GOSPO_0cc492cb465c;GOSPO_d623658d5904,822ec870accc
England,E12000008,E07000088,Gosport,GOSPO_560e0c3c7f57;GOSPO_39080703722d,4f116d53207a
England,E12000008,E07000088,Gosport,GOSPO_97b466654386;GOSPO_74d8cad29cf8,4b016f36dec5
England,E12000008,E07000088,Gosport,GOSPO_a6ba97eebdb7,43a213cf3bf2
England,E12000008,E07000088,Gosport,GOSPO_cc30a5985aef;GOSPO_0c11fda06e36,916465bdadb4
England,E12000008,E07000088,Gosport,GOSPO_7454ad9ab0c4,9cbcae6c4e4e
England,E12000008,E07000088,Gosport,GOSPO_82d91ee0f1ac,526b0830b11f
England,E12000008,E07000088,Gosport,GOSPO_0ad73bc8ba45,29f6ec2b8816
England,E12000008,E07000088,Gosport,GOSPO_edafd05d56c0,ed604bcff92e
England,E12000008,E07000088,Gosport,GOSPO_d6566dd4d7e2,16c16cd342dd
England,E12000008,E07000088,Gosport,GOSPO_5cf0665085de,df7ed2cc8893
England,E12000008,E07000088,Gosport,GOSPO_fa497e25da6e,8c2b49d60ff4
England,E12000008,E07000088,Gosport,GOSPO_0151337253cf,18e2306d458e
England,E12000008,E07000088,Gosport,GOSPO_59c4924b7e9b,38dec3596da3
England,E12000008,E07000088,Gosport,GOSPO_a4e6f9c7315c,5a8b9484e78c
England,E12000008,E07000088,Gosport,GOSPO_90f79364e070,fd5b88aa878a
England,E12000008,E07000088,Gosport,GOSPO_794698307973,88a0840b6421
England,E12000008,E07000088,Gosport,GOSPO_f10846d24e11,19c95459d87b
England,E12000008,E07000088,Gosport,GOSPO_36e8498cb564,535e5310f8cf
England,E12000008,E07000088,Gosport,GOSPO_22a6ff254186,772a8cb6e680
England,E12000008,E07000088,Gosport,GOSPO_460a8b61e9d8,e6d0a740795a
England,E12000008,E07000088,Gosport,GOSPO_5fde4ce70426,5dbb5dfe54eb
England,E12000008,E07000088,Gosport,GOSPO_ef0afb4b9003,e5e2448ad79b
England,E12000008,E07000088,Gosport,GOSPO_b73610d95ced,ccea71e1e75c
England,E12000008,E07000088,Gosport,GOSPO_e8318f9c2770,847e5a11bf85
England,E12000008,E07000088,Gosport,GOSPO_c0b39237efab,832eff1a4a33
England,E12000008,E07000088,Gosport,GOSPO_cc8d7aec01d4,0305811c66a1
England,E12000008,E07000088,Gosport,GOSPO_30f90e94887e,f7f98dcdcfb1
England,E12000008,E07000088,Gosport,GOSPO_31caa18ba455,49a7b5e8b7a4
England,E12000008,E07000088,Gosport,GOSPO_3f4cfa940269,df1510339211
England,E12000008,E07000088,Gosport,GOSPO_4451942eda02,195091e0c2e3
England,E12000008,E07000088,Gosport,GOSPO_3c7435a2bd29,f0f1d8b91421
England,E12000008,E07000088,Gosport,GOSPO_c8ba3e7d01fb,5e282e9dc483
England,E12000008,E07000088,Gosport,GOSPO_655702e84e28,cbec735e890b
England,E12000008,E07000088,Gosport,GOSPO_1c815ff16bdd,ca11a3b403f5
England,E12000008,E07000088,Gosport,GOSPO_c51851c0a08d,7e0e24e328c4
England,E12000008,E07000088,Gosport,GOSPO_bf989846f487,07ee775b6aea
England,E12000008,E07000088,Gosport,GOSPO_89dc39aaf907,c59979a7cdd3
England,E12000008,E07000088,Gosport,GOSPO_3b726f5a4eb1,d7d593b810ce
